,nr,name,y,x,google map
478,479,Samut,24.8394,33.9488,"http://maps.google.com/maps?ll=24.8394,33.9488&spn=0.01,0.01&t=h&q=24.8394,33.9488"
479,480,Dunqash,24.933333,33.866667,"http://maps.google.com/maps?ll=24.933333,33.866667&spn=0.01,0.01&t=h&q=24.933333,33.866667"
480,481,Bir Umm Fawakhir,24.952795,34.711604,"http://maps.google.com/maps?ll=24.952795,34.711604&spn=0.01,0.01&t=h&q=24.952795,34.711604"
481,482,Gelli,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
482,483,Ghuzza,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
483,484,Eridiya,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
484,485,Persou,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
485,486,Thasos (mountains),40.716667,24.766667,"http://maps.google.com/maps?ll=40.716667,24.766667&spn=0.01,0.01&t=h&q=40.716667,24.766667"
486,487,Cerro da Mina,37.44998,-7.750004,"http://maps.google.com/maps?ll=37.44998,-7.750004&spn=0.01,0.01&t=h&q=37.44998,-7.750004"
487,488,Santo Estevão,38.859618,-8.744744,"http://maps.google.com/maps?ll=38.859618,-8.744744&spn=0.01,0.01&t=h&q=38.859618,-8.744744"
488,489,Boicza,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
489,490,Kosmaj,44.466667,20.566667,"http://maps.google.com/maps?ll=44.466667,20.566667&spn=0.01,0.01&t=h&q=44.466667,20.566667"
490,491,Miraflores,38.778342,-5.599583,"http://maps.google.com/maps?ll=38.778342,-5.599583&spn=0.01,0.01&t=h&q=38.778342,-5.599583"
491,492,Barrio Nuevo,38.770187,-5.612944,"http://maps.google.com/maps?ll=38.770187,-5.612944&spn=0.01,0.01&t=h&q=38.770187,-5.612944"
492,493,Pico de Lirio,38.784564,-5.617517,"http://maps.google.com/maps?ll=38.784564,-5.617517&spn=0.01,0.01&t=h&q=38.784564,-5.617517"
493,494,Santo Cristo,38.634095,-5.785174,"http://maps.google.com/maps?ll=38.634095,-5.785174&spn=0.01,0.01&t=h&q=38.634095,-5.785174"
494,495,Fuente la Zarza,38.646649,-5.281374,"http://maps.google.com/maps?ll=38.646649,-5.281374&spn=0.01,0.01&t=h&q=38.646649,-5.281374"
495,496,Cerro de la Mina,38.495211,-6.541096,"http://maps.google.com/maps?ll=38.495211,-6.541096&spn=0.01,0.01&t=h&q=38.495211,-6.541096"
496,497,Arroyo Chamazo,38.760284,-5.914305,"http://maps.google.com/maps?ll=38.760284,-5.914305&spn=0.01,0.01&t=h&q=38.760284,-5.914305"
497,498,Rebelde Julia,38.760907,-5.587222,"http://maps.google.com/maps?ll=38.760907,-5.587222&spn=0.01,0.01&t=h&q=38.760907,-5.587222"
498,499,Lomo de Perro,38.774722,-5.456813,"http://maps.google.com/maps?ll=38.774722,-5.456813&spn=0.01,0.01&t=h&q=38.774722,-5.456813"
499,500,El Buho,38.707427,-5.616804,"http://maps.google.com/maps?ll=38.707427,-5.616804&spn=0.01,0.01&t=h&q=38.707427,-5.616804"
500,501,Triunfo Nueva Estrella,38.785458,-5.562787,"http://maps.google.com/maps?ll=38.785458,-5.562787&spn=0.01,0.01&t=h&q=38.785458,-5.562787"
501,502,Arroyo de las Minetas,38.792634,-6.082369,"http://maps.google.com/maps?ll=38.792634,-6.082369&spn=0.01,0.01&t=h&q=38.792634,-6.082369"
502,503,Cancho Blanco,38.600937,-5.81707,"http://maps.google.com/maps?ll=38.600937,-5.81707&spn=0.01,0.01&t=h&q=38.600937,-5.81707"
503,504,Gamonita,38.708465,-5.560633,"http://maps.google.com/maps?ll=38.708465,-5.560633&spn=0.01,0.01&t=h&q=38.708465,-5.560633"
